5886,,,,,,,
83,,,,,,,
UID,Y,X,BEARING_ANGLE,SPEED_RESTRICTION,CAMERA_TYPE,DIR_TYPE,Version
153,55.8331814,38.3498091,264,60,1,1,20150520
154,55.384486,36.398041,150,50,1,1,20150520
155,55.8909244,37.494217,55,100,1,1,20150520
156,55.7727642,37.430918,260,80,1,1,20150520
157,55.76253549,37.56595494,285,60,1,1,20150520
158,55.7730293,37.490302,286,80,1,1,20150520
159,56.3362272,38.1299645,350,60,1,1,20150520
160,55.5980139,37.6031277,196,80,1,1,20150520
777,69.07201251,33.42133284,324,40,1,1,20150520
162,55.7844206,37.5679293,129,60,1,1,20150520
163,55.987037,37.276724,128,60,1,1,20150520
4444,56.307086,43.694411,265,60,1,1,20150520
166,55.5348181,38.6693677,319,60,1,1,20150520
167,55.79200413,37.6225402,163,60,1,1,20150520
168,55.797782,37.537183,125,60,1,1,20150520
169,55.6991147,37.57843,12,60,1,1,20150520
170,55.68581,37.5489887,135,80,1,1,20150520
172,55.7207242,37.584779,218,60,1,1,20150520
173,55.7682017,37.5223287,282,80,1,1,20150520
174,55.720101,37.701304,125,60,1,1,20150520
175,55.29608,38.47195,145,60,1,1,20150520
176,55.7156653,37.5195658,309,60,1,1,20150520
5663,43.21389876,76.85670644,146,60,1,1,20150520
179,55.6675773,37.5026977,133,60,1,1,20150520
180,55.7837681,37.568551,129,60,1,1,20150520
181,55.729023,37.661857,345,60,1,1,20150520
778,69.07214281,33.42191219,141,40,1,1,20150520
776,55.65766457,37.43715763,146,100,1,1,20150520
185,54.8634928,31.971253,85,60,1,1,20150520
186,55.7011764,37.6077624,118,80,1,1,20150520
187,55.7011399,37.6076552,265,80,1,1,20150520
188,55.7853789,37.6635016,320,80,1,1,20150520
191,55.8388741,37.5803746,15,60,1,1,20150520
192,55.846428,37.3751423,131,60,1,1,20150520
193,55.8423151,37.383693,330,60,1,1,20150520
194,55.8166366,37.462241,297,80,1,1,20150520
5683,53.54166539,49.33887541,97,60,1,1,20150520
196,55.8370726,37.3875613,353,60,1,1,20150520
199,55.8239967,37.436382,296,60,1,1,20150520
200,55.8515277,37.365073,311,60,1,1,20150520
6542,45.4836403,39.40831941,215,90,1,1,20150520
202,55.810356,37.4876905,110,80,1,1,20150520
204,55.8115612,37.4816617,112,80,1,1,20150520
205,55.815787,37.464559,117,80,1,1,20150520
206,55.2291638,34.2600347,241,90,1,1,20150520
3438,47.72805201,40.2305308,37,40,5,1,20150520
208,55.8284111,37.649332,30,60,1,1,20150520
209,55.81543,37.638248,186,60,1,1,20150520
210,55.8517625,37.3642795,133,60,1,1,20150520
211,58.1463554,31.053253,151,60,1,1,20150520
212,55.665387,37.440953,36,60,1,1,20150520
1115,56.80256868,36.03156745,297,40,1,1,20150520
215,55.6537154,37.3909325,238,60,1,1,20150520
216,55.654117,37.3925333,60,60,1,1,20150520
217,55.6463549,37.3661047,225,60,1,1,20150520
218,55.646183,37.366267,43,60,1,1,20150520
219,55.640167,37.356283,42,60,1,1,20150520
220,55.66987,37.44771,240,60,1,1,20150520
221,55.6891245,37.483147,229,60,1,1,20150520
222,55.6826489,37.471997,40,60,1,1,20150520
223,55.720642,37.535342,355,60,1,1,20150520
