2063,,,,,,,
12,,,,,,,
UID,Y,X,BEARING_ANGLE,SPEED_RESTRICTION,CAMERA_TYPE,DIR_TYPE,Version
,22.625782,120.424188,315,50,1,1,2015Q2
,22.62614,120.552067,315,70,1,1,2015Q2
,22.626148,120.552054,135,70,1,1,2015Q2
,22.626162,121.01258,180,70,1,1,2015Q2
,22.626173,120.311061,0,60,1,1,2015Q2
,22.626425,120.297006,180,50,1,1,2015Q2
,22.626673,120.310874,180,60,1,1,2015Q2
,22.627286,120.296683,0,50,1,1,2015Q2
,22.62733,120.302948,270,50,1,1,2015Q2
,22.627457,120.306753,90,50,1,1,2015Q2
,22.627766,120.310863,270,50,1,1,2015Q2
,22.628172,120.344206,90,60,1,1,2015Q2
,22.628292,120.335827,180,50,1,1,2015Q2
,22.668792,120.309345,90,50,1,1,2015Q2
,22.670531,120.289893,45,60,1,1,2015Q2
,22.670981,120.327871,225,50,1,1,2015Q2
,22.671569,120.297505,0,50,1,1,2015Q2
,22.672321,120.291523,225,60,1,1,2015Q2
,22.67265,121.038035,225,70,1,1,2015Q2
,22.67298,120.286586,180,50,1,1,2015Q2
,22.672987,120.30447,225,60,1,1,2015Q2
,22.673227,120.447989,180,60,1,1,2015Q2
,22.673286,120.318028,0,60,1,1,2015Q2
,22.673946,120.448271,0,60,1,1,2015Q2
,22.67455,120.299529,45,60,1,1,2015Q2
,22.674576,120.305439,45,60,1,1,2015Q2
,22.674886,120.359236,315,60,1,1,2015Q2
,22.65626,120.275417,0,50,1,1,2015Q2
,22.656766,120.308252,90,50,1,1,2015Q2
,22.656951,120.321239,45,50,1,1,2015Q2
,22.657776,120.292526,0,40,1,1,2015Q2
,22.657786,120.292341,0,60,1,1,2015Q2
,22.65799,120.359473,225,60,3,1,2015Q2
,22.658166,120.292135,180,60,1,1,2015Q2
,22.658177,120.292358,180,60,1,1,2015Q2
,22.658678,120.425369,0,70,1,1,2015Q2
,22.658859,120.331469,135,50,1,1,2015Q2
,22.659071,120.363799,90,60,3,1,2015Q2
,22.659249,120.275933,225,50,1,1,2015Q2
,22.659649,120.325541,270,50,1,1,2015Q2
,22.659845,120.328273,90,50,1,1,2015Q2
,22.659944,120.283417,0,60,1,1,2015Q2
,22.66009,120.319943,90,50,1,1,2015Q2
,22.660281,120.510781,135,50,1,1,2015Q2
,22.661183,120.29963,90,50,1,1,2015Q2
,22.661186,120.30038,270,50,1,1,2015Q2
,22.661382,120.288002,90,50,1,1,2015Q2
,22.661573,120.292521,180,60,1,1,2015Q2
,22.662539,121.028611,225,70,1,1,2015Q2
,22.66258,121.028639,45,70,1,1,2015Q2
,22.663309,120.316125,0,40,1,1,2015Q2
,22.663736,120.31618,180,60,1,1,2015Q2
,22.66522,120.292209,315,60,1,1,2015Q2
,22.667108,120.315039,225,50,1,1,2015Q2
,22.668472,120.288406,225,60,1,1,2015Q2
,22.732197,120.284907,270,50,1,1,2015Q2
,22.734684,120.319402,135,60,1,1,2015Q2
,22.734726,120.319584,0,60,1,1,2015Q2
,22.73668,120.489497,180,50,3,1,2015Q2
,22.737972,120.265238,315,60,1,1,2015Q2
,22.738413,120.335682,45,60,1,1,2015Q2
,22.739997,120.336906,225,60,1,1,2015Q2
,22.742743,120.317233,0,60,1,1,2015Q2
,22.743067,120.327273,45,50,1,1,2015Q2
,22.744861,121.057038,0,70,1,1,2015Q2
,22.744933,121.057034,180,70,1,1,2015Q2
,22.74561,120.447679,180,70,3,1,2015Q2
,22.747077,121.14376,45,50,1,1,2015Q2
,22.749161,121.152365,270,50,1,1,2015Q2
,22.75055,121.156798,225,60,3,1,2015Q2
,22.75225,120.312918,135,60,3,1,2015Q2
,22.75248,120.354095,45,50,1,1,2015Q2
,22.752559,121.148236,315,50,1,1,2015Q2
,22.754325,120.333622,180,110,1,1,2015Q2
,22.754468,121.145906,135,50,1,1,2015Q2
,22.754778,120.491758,0,70,3,1,2015Q2
,22.754899,121.131703,315,50,1,1,2015Q2
,22.754937,120.311502,135,60,3,1,2015Q2
,22.755015,121.153901,45,40,3,1,2015Q2
,22.75505,120.33362,0,110,1,1,2015Q2
,22.755129,120.356449,225,50,1,1,2015Q2
,22.755758,121.151017,45,40,1,1,2015Q2
,22.757,121.151812,135,50,3,1,2015Q2
,22.757006,121.14325,315,50,3,1,2015Q2
,22.67499,120.358968,135,60,1,1,2015Q2
,22.675387,120.294395,45,60,1,1,2015Q2
,22.6757,120.318494,180,60,1,1,2015Q2
,22.675792,120.318511,0,60,1,1,2015Q2
,22.67625,120.312778,180,50,1,1,2015Q2
,22.676716,120.323625,315,50,1,1,2015Q2
,22.677296,120.345809,90,50,1,1,2015Q2
,22.677724,120.296736,225,60,1,1,2015Q2
,22.678507,120.29872,270,50,1,1,2015Q2
,22.679411,120.314206,270,50,1,1,2015Q2
,22.6802,120.34045,225,50,3,1,2015Q2
,22.680571,120.309764,45,60,1,1,2015Q2
,22.681226,120.3138,0,50,1,1,2015Q2
,22.681371,120.282262,90,50,1,1,2015Q2
,22.681384,120.305501,180,60,1,1,2015Q2
,22.681451,120.310347,225,60,1,1,2015Q2
,22.683101,120.319928,180,60,1,1,2015Q2
,22.68323,120.303558,225,50,1,1,2015Q2
,22.683313,120.483931,90,50,3,1,2015Q2
,22.683502,120.307719,315,60,1,1,2015Q2
,22.683612,121.043266,0,70,3,1,2015Q2
,22.685424,120.310925,45,60,1,1,2015Q2
,22.68543,120.305663,135,60,1,1,2015Q2
,22.686468,120.302674,180,60,1,1,2015Q2
,22.687334,120.313617,225,60,1,1,2015Q2
,22.687458,120.320769,0,60,1,1,2015Q2
,22.688266,120.320925,180,60,1,1,2015Q2
,22.688525,120.31929,135,60,1,1,2015Q2
,22.688931,120.318344,315,60,1,1,2015Q2
,22.691383,120.435224,0,70,3,1,2015Q2
,22.691716,120.321583,180,60,1,1,2015Q2
,22.692116,120.321535,180,40,1,1,2015Q2
,22.693241,120.349357,135,60,3,1,2015Q2
,22.693427,120.489302,225,50,3,1,2015Q2
,22.693474,120.302864,0,60,1,1,2015Q2
,22.694027,120.292433,180,50,3,1,2015Q2
,22.694156,120.357911,180,60,1,1,2015Q2
,22.694572,120.42396,135,60,1,1,2015Q2
,22.697116,120.292452,0,50,3,1,2015Q2
,22.701233,120.345233,135,60,3,1,2015Q2
,22.702844,120.364245,135,60,1,1,2015Q2
,22.702903,120.363981,315,60,1,1,2015Q2
,22.704649,120.302284,180,50,1,1,2015Q2
,22.704816,120.292486,0,50,1,1,2015Q2
,22.704889,120.499894,0,70,1,1,2015Q2
,22.704983,120.499873,180,70,1,1,2015Q2
,22.705522,120.34257,315,60,3,1,2015Q2
,22.705717,121.05675,45,70,1,1,2015Q2
,22.705953,120.341766,90,50,3,1,2015Q2
,22.706677,120.292823,180,50,1,1,2015Q2
,22.707108,120.324563,180,60,1,1,2015Q2
,22.707776,120.488118,180,60,1,1,2015Q2
,22.707874,120.302351,0,50,3,1,2015Q2
,22.71117,121.072554,225,50,1,1,2015Q2
,22.712231,120.308357,0,50,1,1,2015Q2
,22.712253,120.308365,180,50,1,1,2015Q2
,22.712875,120.533615,0,50,1,1,2015Q2
,22.713643,120.293383,90,50,1,1,2015Q2
,22.757415,120.476637,270,110,1,1,2015Q2
,22.757946,121.149193,135,50,3,1,2015Q2
,22.759587,121.158257,225,40,1,1,2015Q2
,22.760372,120.387002,90,100,1,1,2015Q2
,22.760782,120.262791,180,60,3,1,2015Q2
,22.762417,121.157989,315,60,3,1,2015Q2
,22.765247,120.375533,225,70,1,1,2015Q2
,22.765795,121.143498,90,50,3,1,2015Q2
,22.765845,121.149784,270,50,1,1,2015Q2
,22.766958,120.446938,135,110,1,1,2015Q2
,22.767897,120.305349,315,70,1,1,2015Q2
,22.768022,121.14384,90,50,1,1,2015Q2
,22.768117,121.136191,135,60,1,1,2015Q2
,22.769861,120.493707,0,50,1,1,2015Q2
,22.769915,120.404007,270,100,1,1,2015Q2
,22.771776,121.076271,270,60,1,1,2015Q2
,22.77236,120.400682,270,60,1,1,2015Q2
,22.772644,121.131583,315,60,1,1,2015Q2
,22.774559,121.084326,90,60,3,1,2015Q2
,22.775086,120.253275,315,70,1,1,2015Q2
,22.775913,121.064085,225,40,3,1,2015Q2
,22.777593,121.176134,45,60,3,1,2015Q2
,22.777627,120.497443,45,50,1,1,2015Q2
,22.777732,121.176142,225,60,1,1,2015Q2
,22.779574,120.298957,0,60,1,1,2015Q2
,22.780483,121.13266,315,60,3,1,2015Q2
,22.782088,120.251478,180,70,1,1,2015Q2
,22.78399,120.299761,0,60,1,1,2015Q2
,22.785094,120.304148,270,60,3,1,2015Q2
,22.786995,120.362421,180,60,1,1,2015Q2
,22.788296,120.362543,0,60,1,1,2015Q2
,22.791278,120.245204,315,70,1,1,2015Q2
,22.794304,121.193809,45,50,3,1,2015Q2
,22.800376,120.294616,180,50,1,1,2015Q2
,22.801363,120.292695,315,60,1,1,2015Q2
,22.803193,120.290138,135,60,1,1,2015Q2
,22.804143,120.296815,45,25,3,1,2015Q2
,22.8076,120.310653,90,60,1,1,2015Q2
,22.807723,121.092444,180,60,3,1,2015Q2
